Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:59.87,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,f1,,"Armory Track&Field Center, New York, NY (USA)",08 FEB 2020,1229
2,4:00.09,Gudaf TSEGAY,23 JUN 1997,ETH,1,,"Arena, Toruń (POL)",08 FEB 2020,1227
3,4:00.20,Ellinor PURRIER,20 FEB 1995,USA,f1,,"Armory Track&Field Center, New York, NY (USA)",08 FEB 2020,1226
4,4:00.52,Jemma REEKIE,06 MAR 1998,GBR,f1,,"Armory Track&Field Center, New York, NY (USA)",08 FEB 2020,1224
5,4:00.60,Gudaf TSEGAY,23 JUN 1997,ETH,1,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1223
6,4:00.80,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,f1,,"Armory Track&Field Center, New York, NY (USA)",08 FEB 2020,1221
7,4:01.57,Lemlem HAILU,25 MAY 2001,ETH,2,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1215
8,4:01.79,Lemlem HAILU,25 MAY 2001,ETH,2,,"Arena, Toruń (POL)",08 FEB 2020,1213
9,4:02.09,Beatrice CHEPKOECH,06 JUL 1991,KEN,1,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1211
10,4:02.46,Rababe ARAFI,12 JAN 1991,MAR,3,,"Arena, Toruń (POL)",08 FEB 2020,1208
11,4:02.96,Axumawit EMBAYE,18 OCT 1994,ETH,2,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1204
12,4:03.83,Axumawit EMBAYE,18 OCT 1994,ETH,3,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1197
13,4:04.07,Jemma REEKIE,06 MAR 1998,GBR,1,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1195
14,4:04.14,Jessica HULL,22 OCT 1996,AUS,1,,"Reggie Lewis Center, Boston, MA (USA)",25 JAN 2020,1194
15,4:04.24,Dawit SEYAUM,27 JUL 1996,ETH,2,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1194
16,4:04.38,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,2,,"Reggie Lewis Center, Boston, MA (USA)",25 JAN 2020,1192
17,4:04.66,Gudaf TSEGAY,23 JUN 1997,ETH,1,,"Gallur, Madrid (ESP)",21 FEB 2020,1190
18,4:04.75,Cory Ann MCGEE,29 MAY 1992,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",01 FEB 2020,1189
19,4:05.08,Lemlem HAILU,25 MAY 2001,ETH,1,,"Atletická hala, Ostrava (CZE)",05 FEB 2020,1187
20,4:05.24,Lemlem HAILU,25 MAY 2001,ETH,2,,"Gallur, Madrid (ESP)",21 FEB 2020,1185
21,4:05.27,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,4,,"Arena Stade Couvert, Liévin (FRA)",19 FEB 2020,1185
22,4:05.29,Heather MACLEAN,31 AUG 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1185
23,4:05.34,Rababe ARAFI,12 JAN 1991,MAR,3,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1185
24,4:05.43,Axumawit EMBAYE,18 OCT 1994,ETH,3,,"Gallur, Madrid (ESP)",21 FEB 2020,1184
25,4:05.72,Maruša MIŠMAŠ,24 OCT 1994,SLO,4,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1182
26,4:05.77,Axumawit EMBAYE,18 OCT 1994,ETH,5,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1181
27,4:05.84,Yelena KOROBKINA,25 NOV 1990,RUS,1,,"LFK CSKA, Moskva (RUS)",09 FEB 2020,1181
28,4:05.89,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,6,,"Emirates Arena, Glasgow (GBR)",15 FEB 2020,1180
29,4:05.91,Freweyni HAILU,12 FEB 2001,ETH,4,,"Gallur, Madrid (ESP)",21 FEB 2020,1180
30,4:06.13,Winnie NANYONDO,23 AUG 1993,UGA,3,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1178
31,4:06.39,Fantu WORKU,29 MAR 1999,ETH,4,,"Leichtathletikhalle im Arena-Sportpark, Düsseldorf (GER)",04 FEB 2020,1176
32,4:06.41,Shelby HOULIHAN,08 FEB 1993,USA,1,,"Convention Center, Albuquerque, NM (USA)",15 FEB 2020,1176
33,4:06.42,Ciara MAGEEAN,12 MAR 1992,IRL,3,,"Reggie Lewis Center, Boston, MA (USA)",25 JAN 2020,1176
34,4:06.49,Emily LIPARI,19 NOV 1992,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",28 FEB 2020,1175
35,4:06.73,Axumawit EMBAYE,18 OCT 1994,ETH,4,,"Arena, Toruń (POL)",08 FEB 2020,1173
36,4:06.77,Darya BARYSEVICH,06 APR 1990,BLR,5,,"Arena, Toruń (POL)",08 FEB 2020,1173
